Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2005-01-03 00:00:00-05:00,83.17883914349011,83.31569459697256,82.04296759234546,82.3166732788086,55748000,0.0,0.0,0.0
2005-01-04 00:00:00-05:00,82.42615852464617,82.48090071009274,81.04395227538424,81.3108139038086,69167600,0.0,0.0,0.0
2005-01-05 00:00:00-05:00,81.24923346341708,81.59820839502329,80.74288126299999,80.74972534179688,65667300,0.0,0.0,0.0
2005-01-06 00:00:00-05:00,81.04399317987715,81.52981857479124,80.92082581070846,81.16031646728516,47814700,0.0,0.0,0.0
2005-01-07 00:00:00-05:00,81.40662611465136,81.5845356420612,80.83184349552076,81.0439682006836,55847700,0.0,0.0,0.0
2005-01-10 00:00:00-05:00,80.97552407112269,81.74189902610094,80.97552407112269,81.42713928222656,56563300,0.0,0.0,0.0
2005-01-11 00:00:00-05:00,81.1807951684924,81.24922028385441,80.73602408788679,80.86603546142578,63099700,0.0,0.0,0.0
2005-01-12 00:00:00-05:00,81.0165808245512,81.31765240217224,80.41442722830486,81.13290405273438,72720500,0.0,0.0,0.0
2005-01-13 00:00:00-05:00,81.18081672409492,81.24240299862466,80.40075871673874,80.48287200927734,55537500,0.0,0.0,0.0
2005-01-14 00:00:00-05:00,80.72231806452959,81.10550277735837,80.57862379721881,80.90706634521484,42032500,0.0,0.0,0.0
2005-01-18 00:00:00-05:00,80.77706823192742,81.85135852582361,80.70863790885703,81.74871826171875,57391700,0.0,0.0,0.0
2005-01-19 00:00:00-05:00,81.72140420197115,81.78298527110506,80.88660379479357,80.89344787597656,54378900,0.0,0.0,0.0
2005-01-20 00:00:00-05:00,80.66761850481655,80.87973797995042,80.25706249273362,80.4007568359375,72049300,0.0,0.0,0.0
2005-01-21 00:00:00-05:00,80.59920222906447,80.74289658805738,79.81914415424386,79.90809631347656,63160400,0.0,0.0,0.0
2005-01-24 00:00:00-05:00,80.12019095740139,80.29125636320727,79.62752697390204,79.75069427490234,58441900,0.0,0.0,0.0
2005-01-25 00:00:00-05:00,79.99704133135317,80.38022622945441,79.86702993213909,79.97650909423828,68245000,0.0,0.0,0.0
2005-01-26 00:00:00-05:00,80.27758446668594,80.46917691225399,80.08599202111789,80.21600341796875,57195100,0.0,0.0,0.0
2005-01-27 00:00:00-05:00,80.18862290714885,80.57180775329178,80.04492858984527,80.35284423828125,55878800,0.0,0.0,0.0
2005-01-28 00:00:00-05:00,80.39389826593886,80.43495751409844,79.79174990478542,80.35284423828125,60738900,0.0,0.0,0.0
2005-01-31 00:00:00-05:00,80.70867165369133,80.91395226773027,80.5444502947619,80.85237121582031,52532700,0.0,0.0,0.0
2005-02-01 00:00:00-05:00,80.9139244433962,81.48186275583458,80.81128417167223,81.36553955078125,49841200,0.0,0.0,0.0
2005-02-02 00:00:00-05:00,81.46819075010548,81.83084859097963,81.35871160026711,81.61188507080078,52468900,0.0,0.0,0.0
2005-02-03 00:00:00-05:00,81.468182499536,81.53661283431968,81.13289578520263,81.3997573852539,48837100,0.0,0.0,0.0
